sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
0;Fullmetal Alchemist: Brotherhood;5114;TV;24 min. per ep.;['Bones'];Manga;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];N\A; R - 17+ (violence & profanity)  ;3;9.15
1;Shingeki no Kyojin: The Final Season Part 2;48583;TV;23 min. per ep.;['MAPPA'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power']; R - 17+ (violence & profanity)  ;221;9.15
2;"Steins;Gate";9253;TV;24 min. per ep.;['White Fox'];Visual;['Drama', 'Sci-Fi', 'Suspense'];N\A; PG-13 - Teens 13 or older  ;13;9.09
3;Gintama°;28977;TV;24 min. per ep.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai']; PG-13 - Teens 13 or older  ;335;9.09
4;Shingeki no Kyojin Season 3 Part 2;38524;TV;23 min. per ep.;['Wit Studio'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power']; R - 17+ (violence & profanity)  ;31;9.08
5;Fruits Basket: The Final;42938;TV;23 min. per ep.;['TMS Entertainment'];Manga;['Drama', 'Romance', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;625;9.06
6;Gintama';9969;TV;24 min. per ep.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai']; PG-13 - Teens 13 or older  ;381;9.06
7;Gintama: The Final;39486;Movie;1 hr. 44 min.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Drama', 'Sci-Fi'];['Historical', 'Parody', 'Samurai']; PG-13 - Teens 13 or older  ;1798;9.05
8;Hunter x Hunter (2011);11061;TV;23 min. per ep.;['Madhouse'];Manga;['Action', 'Adventure', 'Fantasy'];N\A; PG-13 - Teens 13 or older  ;11;9.05
9;Gintama': Enchousen;15417;TV;24 min. per ep.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai']; PG-13 - Teens 13 or older  ;691;9.04
10;Ginga Eiyuu Densetsu;820;OVA;26 min. per ep.;['K-Factory', 'Kitty Film Mitaka Studio'];Novel;['Drama', 'Sci-Fi'];['Military', 'Space']; R - 17+ (violence & profanity)  ;682;9.03
