Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
27517;D4 Princess;2723;TV;8 min. per ep.;['Daume'];Manga;['Action', 'Comedy', 'Sci-Fi'];N\A; PG-13 - Teens 13 or older  ;8783;6.06
17058;Monoshiri Daigaku: Ashita no Calendar;22221;TV;5 min. per ep.;['add some'];Original;N\A;N\A; G - All Ages  ;12804;5.69
18703;Wo Jiao Bai Xiaofei;33357;ONA;11 min. per ep.;['Haoliners Animation League'];Web;['Action', 'Comedy', 'Horror'];N\A; PG-13 - Teens 13 or older  ;10627;6.15
35052;Tobe! Kujira no Peek;2314;Movie;1 hr. 20 min.;['Urban Product'];Unknown;['Adventure', 'Drama'];N\A; G - All Ages  ;11244;6.06
42093;Gon;7867;TV;23 min. per ep.;['Daewon Media'];Manga;['Action', 'Adventure'];N\A; G - All Ages  ;9819;5.67
37236;Project HAL;32385;ONA;39 sec. per ep.;['add some'];Original;N\A;N\A; G - All Ages  ;12603;5.79
20504;Air Recap;36032;Special;22 min.;['Kyoto Animation'];Visual;['Drama', 'Romance', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;6594;6.22
2557;Cyborg 009: The Cyborg Soldier - Yomi no Gunzou;40250;Special;24 min.;['add some'];Manga;['Action', 'Adventure', 'Sci-Fi'];N\A; PG-13 - Teens 13 or older  ;13022;6.01
41892;Kick-Flight;40375;ONA;1 min.;['MAPPA'];Game;N\A;['Game', 'Music']; PG-13 - Teens 13 or older  ;12869;5.73
1794;21 Emon;5628;TV;25 min. per ep.;['Shin-Ei Animation'];Unknown;['Comedy', 'Sci-Fi'];N\A; G - All Ages  ;11857;6.13
23384;Hello Kitty no Yappari Mama ga Suki;22445;OVA;30 min.;['add some'];Unknown;N\A;N\A; G - All Ages  ;14141;5.95
13801;Green Green Character DVD;1679;OVA;9 min. per ep.;['add some'];Unknown;['Comedy', 'Romance', 'Slice of Life', 'Ecchi'];N\A; R+ - Mild Nudity  ;5354;6.21
15396;Mo Ri Shu Guang;37291;ONA;17 min. per ep.;['Dawn Animation'];Novel;['Action', 'Boys Love', 'Horror', 'Supernatural', 'Suspense'];N\A; R - 17+ (violence & profanity)  ;7457;6.04
39473;Yoroiden Samurai Troopers Message;1267;OVA;30 min. per ep.;['Sunrise'];Unknown;['Adventure', 'Fantasy'];N\A; PG-13 - Teens 13 or older  ;9471;5.92
41500;Condom Battler Gorou: Revive;50503;ONA;56 sec. per ep.;['add some'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;14044;5.85
1583;Stitch!;5027;TV;25 min. per ep.;['Madhouse'];Other;['Adventure', 'Comedy'];N\A; PG - Children  ;6900;6.08
38276;Maou Dante;1628;TV;24 min. per ep.;['Magic Bus'];Manga;['Action', 'Horror', 'Supernatural'];N\A; R - 17+ (violence & profanity)  ;5624;6.01
