Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year;Duration;Action;Adventure;Comedy;Drama;Fantasy;Mystery;Sci-Fi;Suspense;Romance;Slice of Life;Supernatural;Sports;Ecchi;Horror;Avant Garde;Boys Love;Gourmet;Girls Love;Military;Super Power;Historical;Parody;Samurai;Space;Mecha;Demons;Martial Arts;School;Psychological;Police;Game;Harem;Vampire;Manga;Visual;Novel;Light;Original;Web;4-koma;Book;Picture;Card;Mixed; R - 17+ (violence & profanity)  ; PG-13 - Teens 13 or older  ; R+ - Mild Nudity  ; PG - Children  ; G - All Ages  ;TV;Movie;OVA;ONA;Special;Shounen;Shoujo;Seinen;Josei;Kids
Daishizen no Majuu: Bagi;2312;Movie;1;1 hr. 30 min.;add some;Original;Action,Romance,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;5106;6.29;N\A;1984;90;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Jibaku Shounen Hanako-kun;39534;TV;12;24 min. per ep.;Lerche;Manga;Comedy,Supernatural;N\A; PG-13 - Teens 13 or older  ;708;7.84;Shounen;2020;24;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Asobot Senki Gokuu;3193;TV;52;23 min. per ep.;Studio Egg;Manga;Action,Adventure,Comedy,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;4285;6.58;Shounen;2002;23;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Kekkai Sensen & Beyond;34451;TV;12;24 min. per ep.;Bones;Manga;Action,Comedy,Fantasy,Supernatural;Super Power,Vampire; R - 17+ (violence & profanity)  ;738;7.82;Shounen;2017;24;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks;985;Special;1;48 min.;Toei Animation;Manga;Adventure,Drama,Fantasy;N\A; PG-13 - Teens 13 or older  ;856;7.74;Shounen;1993;48;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
Bungou Stray Dogs 2nd Season;32867;TV;12;23 min. per ep.;Bones;Manga;Action,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;292;8.2;Seinen;2016;23;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
ef: A Tale of Melodies.;4789;TV;12;24 min. per ep.;Shaft;Visual;Drama,Mystery,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;477;8.02;N\A;2008;24;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Choujikuu Seiki Orguss;2089;TV;35;25 min. per ep.;Artland;Original;Action,Adventure,Romance,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;4540;6.5;N\A;1983;25;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
GetBackers;132;TV;49;24 min. per ep.;Studio Deen;Manga;Action,Comedy,Drama,Mystery,Supernatural;N\A; PG-13 - Teens 13 or older  ;1157;7.59;Shounen;2002;24;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Xin Jue;42148;ONA;13;21 min. per ep.;add some;Original;Action,Adventure,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;5248;6.24;N\A;2020;21;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
