;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
0;Fullmetal Alchemist: Brotherhood;5114;TV;64;24 min. per ep.;Bones;Manga;Action,Adventure,Comedy,Drama,Fantasy;N\A; R - 17+ (violence & profanity)  ;3;9.15;Shounen;2009
1;Shingeki no Kyojin: The Final Season Part 2;48583;TV;12;23 min. per ep.;MAPPA;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;220;9.15;Shounen;2022
2;"Steins;Gate";9253;TV;24;24 min. per ep.;White Fox;Visual;Drama,Sci-Fi,Suspense;N\A; PG-13 - Teens 13 or older  ;13;9.09;N\A;2011
3;Gintama°;28977;TV;51;24 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;335;9.09;Shounen;2015
4;Shingeki no Kyojin Season 3 Part 2;38524;TV;10;23 min. per ep.;Wit Studio;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;32;9.08;Shounen;2019
5;Fruits Basket: The Final;42938;TV;13;23 min. per ep.;TMS Entertainment;Manga;Drama,Romance,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;626;9.06;Shoujo;2021
6;Gintama';9969;TV;51;24 min. per ep.;Sunrise;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;380;9.06;Shounen;2011
7;Gintama: The Final;39486;Movie;1;1 hr. 44 min.;Bandai Namco Pictures;Manga;Action,Comedy,Drama,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;1798;9.05;Shounen;2021
8;Hunter x Hunter (2011);11061;TV;148;23 min. per ep.;Madhouse;Manga;Action,Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;10;9.05;Shounen;2011
9;Gintama': Enchousen;15417;TV;13;24 min. per ep.;Sunrise;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;683;9.04;Shounen;2012
10;Ginga Eiyuu Densetsu;820;OVA;110;26 min. per ep.;K-Factory,Kitty Film Mitaka Studio;Novel;Drama,Sci-Fi;Military,Space; R - 17+ (violence & profanity)  ;682;9.03;N\A;1988
11;Gintama.;34096;TV;12;24 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;729;8.99;Shounen;2017
12;3-gatsu no Lion 2nd Season;35180;TV;22;25 min. per ep.;Shaft;Manga;Drama,Slice of Life;N\A; PG-13 - Teens 13 or older  ;526;8.96;Seinen;2017
