sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
0;Fullmetal Alchemist: Brotherhood;5114;TV;24 min. per ep.;['Bones'];Manga;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];N\A;N\A;3;9.15
1;Shingeki no Kyojin: The Final Season Part 2;48583;TV;23 min.;['MAPPA'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power'];N\A;222;9.15
2;"Steins;Gate";9253;TV;24 min. per ep.;['White Fox'];Visual;['Drama', 'Sci-Fi', 'Suspense'];N\A;N\A;13;9.09
3;Gintama°;28977;TV;24 min. per ep.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;335;9.09
4;Shingeki no Kyojin Season 3 Part 2;38524;TV;23 min. per ep.;['Wit Studio'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power'];N\A;31;9.08
5;Fruits Basket: The Final;42938;TV;23 min. per ep.;['TMS Entertainment'];Manga;['Drama', 'Romance', 'Slice of Life', 'Supernatural'];N\A;N\A;625;9.06
6;Gintama';9969;TV;24 min. per ep.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;381;9.06
7;Gintama: The Final;39486;Movie;1 hr. 44 min.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Drama', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;1798;9.05
8;Hunter x Hunter (2011);11061;TV;23 min. per ep.;['Madhouse'];Manga;['Action', 'Adventure', 'Fantasy'];N\A;N\A;11;9.05
9;Gintama': Enchousen;15417;TV;24 min. per ep.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;689;9.04
10;Ginga Eiyuu Densetsu;820;OVA;26 min. per ep.;['K-Factory', 'Kitty Film Mitaka Studio'];Novel;['Drama', 'Sci-Fi'];['Military', 'Space'];N\A;682;9.03
11;Gintama.;34096;TV;24 min. per ep.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;728;8.99
12;3-gatsu no Lion 2nd Season;35180;TV;25 min. per ep.;['Shaft'];Manga;['Drama', 'Slice of Life'];N\A;N\A;525;8.96
13;Koe no Katachi;28851;Movie;2 hr. 10 min.;['Kyoto Animation'];Manga;N\A;N\A;N\A;19;8.96
14;Violet Evergarden Movie;37987;Movie;2 hr. 20 min.;['Kyoto Animation'];Light;['Drama', 'Fantasy', 'Slice of Life'];N\A;N\A;442;8.96
15;Clannad: After Story;4181;TV;24 min. per ep.;['Kyoto Animation'];Visual;['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural'];N\A;N\A;101;8.95
16;Gintama;918;TV;24 min. per ep.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;123;8.95
17;Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare;15335;Movie;1 hr. 50 min.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;931;8.94
18;Kimetsu no Yaiba: Yuukaku-hen;47778;TV;23 min. per ep.;['ufotable'];Manga;['Action', 'Supernatural'];['Demons', 'Historical'];N\A;226;8.92
19;Code Geass: Hangyaku no Lelouch R2;2904;TV;24 min. per ep.;['Sunrise'];Original;['Action', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'Super Power'];N\A;46;8.91
20;Owarimonogatari 2nd Season;35247;TV;22 min. per ep.;['Shaft'];Light;['Comedy', 'Mystery', 'Supernatural'];N\A;N\A;530;8.91
21;Gintama.: Shirogane no Tamashii-hen - Kouhan-sen;37491;TV;24 min. per ep.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;1189;8.89
22;Kimi no Na wa.;32281;Movie;1 hr. 46 min.;['CoMix Wave Films'];Original;['Drama', 'Romance', 'Supernatural'];N\A;N\A;10;8.88
